# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
display-names	af	script/Hans	Vereenvoudig	Vereenvoudigde Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	af	script/Hant	Tradisioneel	Tradisionele Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	af-NA	script/Hans	Vereenvoudig	Vereenvoudigde Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	af-NA	script/Hant	Tradisioneel	Tradisionele Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	af-ZA	script/Hans	Vereenvoudig	Vereenvoudigde Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	af-ZA	script/Hant	Tradisioneel	Tradisionele Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	ak	script/Hant	Tete	Tete Kyaena Kasa Hanse	DEFECT	TODO: explain this divergence or reclassify it
display-names	ak-GH	script/Hant	Tete	Tete Kyaena Kasa Hanse	DEFECT	TODO: explain this divergence or reclassify it
display-names	am	script/Hans	ቀለል ያለ	ቀለል ያለ ሃን	DEFECT	TODO: explain this divergence or reclassify it
display-names	am	script/Hant	ባህላዊ	ባህላዊ ሃን	DEFECT	TODO: explain this divergence or reclassify it
display-names	am-ET	script/Hans	ቀለል ያለ	ቀለል ያለ ሃን	DEFECT	TODO: explain this divergence or reclassify it
display-names	am-ET	script/Hant	ባህላዊ	ባህላዊ ሃን	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-001	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-001	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-AE	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-AE	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-BH	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-BH	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-DJ	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-DJ	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-DZ	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-DZ	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-EG	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-EG	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-EH	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-EH	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-ER	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-ER	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-IL	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-IL	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-IQ	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-IQ	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-JO	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-JO	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-KM	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-KM	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-KW	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-KW	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-LB	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-LB	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-LY	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-LY	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-MA	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-MA	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-MR	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-MR	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-OM	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-OM	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-PS	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-PS	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-QA	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-QA	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SA	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SA	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SD	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SD	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SO	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SO	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SS	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SS	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SY	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-SY	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-TD	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-TD	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-TN	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-TN	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-YE	script/Hans	المبسطة	الهان المبسطة	DEFECT	TODO: explain this divergence or reclassify it
display-names	ar-YE	script/Hant	التقليدية	الهان التقليدية	DEFECT	TODO: explain this divergence or reclassify it
display-names	as	script/Hans	সৰলীকৃত	সৰলীকৃত হান	DEFECT	TODO: explain this divergence or reclassify it
display-names	as	script/Hant	পৰম্পৰাগত	পৰম্পৰাগত হান	DEFECT	TODO: explain this divergence or reclassify it
display-names	as-IN	script/Hans	সৰলীকৃত	সৰলীকৃত হান	DEFECT	TODO: explain this divergence or reclassify it
display-names	as-IN	script/Hant	পৰম্পৰাগত	পৰম্পৰাগত হান	DEFECT	TODO: explain this divergence or reclassify it
display-names	ast	script/Hans	simplificáu	han simplificáu	DEFECT	TODO: explain this divergence or reclassify it
display-names	ast	script/Hant	tradicional	han tradicional	DEFECT	TODO: explain this divergence or reclassify it
display-names	ast-ES	script/Hans	simplificáu	han simplificáu	DEFECT	TODO: explain this divergence or reclassify it
display-names	ast-ES	script/Hant	tradicional	han tradicional	DEFECT	TODO: explain this divergence or reclassify it
display-names	az	script/Hans	sadələşmiş	Sadələşmiş Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	az	script/Hant	ənənəvi	Ənənəvi Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	az-Latn	script/Hans	sadələşmiş	Sadələşmiş Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	az-Latn	script/Hant	ənənəvi	Ənənəvi Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	az-Latn-AZ	script/Hans	sadələşmiş	Sadələşmiş Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	az-Latn-AZ	script/Hant	ənənəvi	Ənənəvi Han	DEFECT	TODO: explain this divergence or reclassify it
display-names	ba	script/Hans	ябайлаштырылған	ябайл. хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	ba	script/Hant	традицион	традицион хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	ba-RU	script/Hans	ябайлаштырылған	ябайл. хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	ba-RU	script/Hant	традицион	традицион хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	be	script/Hans	спрошчанае кітайскае	спрошчанае хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	be	script/Hant	традыцыйнае кітайскае	традыцыйнае хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	be-BY	script/Hans	спрошчанае кітайскае	спрошчанае хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	be-BY	script/Hant	традыцыйнае кітайскае	традыцыйнае хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	bg	script/Hans	опростена	опростен хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	bg	script/Hant	традиционна	традиционен хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	bg-BG	script/Hans	опростена	опростен хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	bg-BG	script/Hant	традиционна	традиционен хан	DEFECT	TODO: explain this divergence or reclassify it
display-names	blo	script/Hans	aburoka	Han (aburoka)	DEFECT	TODO: explain this divergence or reclassify it
display-names	blo	script/Hant	tututu	Han (tututu)	DEFECT	TODO: explain this divergence or reclassify it
display-names	blo-BJ	script/Hans	aburoka	Han (aburoka)	DEFECT	TODO: explain this divergence or reclassify it
display-names	blo-BJ	script/Hant	tututu	Han (tututu)	DEFECT	TODO: explain this divergence or reclassify it
display-names	bn	script/Hans	সরলীকৃত	সরলিকৃত হ্যান	DEFECT	TODO: explain this divergence or reclassify it
display-names	bn	script/Hant	ঐতিহ্যবাহী	ঐতিহ্যবাহী হ্যান	DEFECT	TODO: explain this divergence or reclassify it
display-names	bn-BD	script/Hans	সরলীকৃত	সরলিকৃত হ্যান	DEFECT	TODO: explain this divergence or reclassify it
display-names	bn-BD	script/Hant	ঐতিহ্যবাহী	ঐতিহ্যবাহী হ্যান	DEFECT	TODO: explain this divergence or reclassify it
display-names	bn-IN	script/Hans	সরলীকৃত	সরলিকৃত হ্যান	DEFECT	TODO: explain this divergence or reclassify it
display-names	bn-IN	script/Hant	ঐতিহ্যবাহী	ঐতিহ্যবাহী হ্যান	DEFECT	TODO: explain this divergence or reclassify it
display-names	br	script/Hans	eeunaet	sinalunioù (han) eeunaet	DEFECT	TODO: explain this divergence or reclassify it
display-names	br	script/Hant	hengounel	sinalunioù (han) hengounel	DEFECT	TODO: explain this divergence or reclassify it
