# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
currency-names	sr-Cyrl-ME	ADP/name	Андорска пезета	Andorska pezeta	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	AED/name	дирхам УАЕ	dirham UAE	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	AFA/name	Авганистански авгани (1927–2002)	Avganistanski avgani (1927–2002)	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	AFN/name	авганистански авгани	avganistanski avgani	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	ALL/name	албански лек	albanski lek	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	AMD/name	јерменски драм	jermenski dram	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	ANG/name	холандскоантилски гулден	holandskoantilski gulden	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	AOA/name	анголска кванза	angolska kvanza	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	AOK/name	Анголијска кванза (1977–1990)	Angolijska kvanza (1977–1990)	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	AON/name	Анголијска нова кванза (1990–2000)	Angolijska nova kvanza (1990–2000)	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	AOR/name	Анголијска кванза реађустадо (1995–1999)	Angolijska kvanza reađustado (1995–1999)	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	ARA/name	Аргентински аустрал	Argentinski austral	DEFECT	TODO: explain this divergence or reclassify it
currency-names	sr-Cyrl-ME	ARP/name	Аргентински пезо (1983–1985)	Argentinski pezo (1983–1985)	DEFECT	TODO: explain this divergence or reclassify it
