# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
duration-units	sr-Cyrl-ME	CENTURY/LONG/1	1 век	1 vek	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/LONG/2	2 века	2 veka	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/LONG/5	5 векова	5 vekova	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/LONG/name	векови	vekovi	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/NARROW/1	1 в	1 v	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/NARROW/2	2 в	2 v	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/NARROW/5	5 в	5 v	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/NARROW/name	в.	v.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/SHORT/1	1 в	1 v	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/SHORT/2	2 в	2 v	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/SHORT/5	5 в	5 v	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	CENTURY/SHORT/name	в.	v.	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/LONG/1	1 дан	1 dan	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/LONG/2	2 дана	2 dana	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/LONG/5	5 дана	5 dana	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/LONG/name	дани	dani	DEFECT	TODO: explain this divergence or reclassify it
duration-units	sr-Cyrl-ME	DAY/NARROW/1	1 д	1 d	DEFECT	TODO: explain this divergence or reclassify it
