# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
currency-minor-units	und	AFN	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	ALL	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	COP	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	HUF	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	IDR	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	IQD	3	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	IRR	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	KPW	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	LAK	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	LBP	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	MGA	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	MMK	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	PKR	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	SOS	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	SYP	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
currency-minor-units	und	XAG	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XAU	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XBA	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XBB	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XBC	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XBD	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XDR	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XPD	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XPT	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XSU	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XTS	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XUA	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	XXX	0	2	DEFECT	ISO 4217 gives this code no minor unit. ICU has no currencyData entry for it and falls back to its own default of two. This library follows ISO 4217.
currency-minor-units	und	YER	2	0	DEFECT	This library takes minor units from ISO 4217, ICU from CLDR supplementalData currencyData, and the two disagree for this code. This library follows ISO 4217.
