# GENERATED by ./gradlew :conformance-icu:updateLedger. Reviewed by hand.
# icu=release-78.3  cldr=release-48-2
#
# Every row is a case where this library and ICU disagree and the
# disagreement is expected. A new one fails the build; a row that stops
# reproducing fails too. An ICU version bump regenerates this file, and
# the diff is the point rather than a nuisance.
#
# domain	locale	case	ours	icu	divergence	note
timezone-names	sr-Cyrl-ME	Africa/Abidjan/STANDARD_LONG	Средње време по Гриничу	Srednje vreme po Griniču	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Addis_Ababa/STANDARD_LONG	Источно-афричко време	Istočno-afričko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Algiers/DAYLIGHT_LONG	Средњеевропско летње време	Srednjeevropsko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Algiers/GENERIC_LONG	Средњеевропско време	Srednjeevropsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Algiers/STANDARD_LONG	Средњеевропско стандардно време	Srednjeevropsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Bangui/STANDARD_LONG	Западно-афричко време	Zapadno-afričko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Blantyre/STANDARD_LONG	Централно-афричко време	Centralno-afričko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Cairo/DAYLIGHT_LONG	Источноевропско летње време	Istočnoevropsko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Cairo/GENERIC_LONG	Источноевропско време	Istočnoevropsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Cairo/STANDARD_LONG	Источноевропско стандардно време	Istočnoevropsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	Africa/Johannesburg/STANDARD_LONG	Јужно-афричко време	Južno-afričko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Adak/DAYLIGHT_LONG	Хавајско-алеутско летње време	Havajsko-aleutsko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Adak/GENERIC_LONG	Хавајско-алеутско време	Havajsko-aleutsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Adak/STANDARD_LONG	Хавајско-алеутско стандардно време	Havajsko-aleutsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Anchorage/DAYLIGHT_LONG	Аљаска, летње време	Aljaska, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Anchorage/GENERIC_LONG	Аљаска	Aljaska	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Anchorage/STANDARD_LONG	Аљаска, стандардно време	Aljaska, standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Anguilla/DAYLIGHT_LONG	Атлантско летње време	Atlantsko letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Anguilla/GENERIC_LONG	Атлантско време	Atlantsko vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Anguilla/STANDARD_LONG	Атлантско стандардно време	Atlantsko standardno vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Araguaina/DAYLIGHT_LONG	Бразилија, летње време	Brazilija, letnje vreme	DEFECT	TODO: explain this divergence or reclassify it
timezone-names	sr-Cyrl-ME	America/Araguaina/GENERIC_LONG	Бразилија време	Brazilija vreme	DEFECT	TODO: explain this divergence or reclassify it
